course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ud_1341538,Master Hibernate and JPA with Spring Boot in 100 Steps,https://www.udemy.com/course/hibernate-jpa-tutorial-for-beginners-in-100-steps/,in28Minutes Official,4.556498,14.0,,0,11199,73498
ud_1329100,Progressive Web Apps (PWA) - The Complete Guide,https://www.udemy.com/course/progressive-web-app-pwa-the-complete-guide/,Academind by Maximilian Schwarzmüller,4.696921,16.0,,0,10963,64600
ud_2201164,"Modern JavaScript (Complete guide, from Novice to Ninja)",https://www.udemy.com/course/modern-javascript-from-novice-to-ninja/,The Net Ninja (Shaun Pelling),4.8375225,20.5,,0,10697,34753
ud_1109926,GraphQL with React: The Complete Developers Guide,https://www.udemy.com/course/graphql-with-react-course/,Stephen Grider,4.5184083,13.5,,2,10352,65876
ud_4471614,"The Ultimate React Course 2024: React, Redux & More",https://www.udemy.com/course/the-ultimate-react-course/,Jonas Schmedtmann,4.781464,67.0,,0,9902,76111
ud_2023728,Go Java Full Stack with Spring Boot and Angular,https://www.udemy.com/course/full-stack-application-development-with-spring-boot-and-angular/,in28Minutes Official,4.5300827,14.0,,0,9701,79615
ud_965528,Web Development Masterclass - Online Certification Course,https://www.udemy.com/course/web-development-masterclass-complete-certificate-course/,YouAccel Training,4.406785,26.0,,0,9700,477167
ud_1587718,Node JS: Advanced Concepts,https://www.udemy.com/course/advanced-node-for-developers/,Stephen Grider,4.59307,16.0,,2,9683,63192
ud_1993718,Full Stack Java developer - Java + JSP + Spring Restful + JS,https://www.udemy.com/course/full-stack-java-developer-java/,StudyEasy Organisation,4.22918,80.5,,0,9368,53971
ud_1218586,The Advanced Web Developer Bootcamp,https://www.udemy.com/course/the-advanced-web-developer-bootcamp/,Colt Steele,4.628125,34.0,,2,9287,78795
ud_670034,Advanced Javascript,https://www.udemy.com/course/javascript-advanced/,Asim Hussain,4.5992494,6.5,,2,9282,37830
ud_3212235,The Complete Salesforce Development Course,https://www.udemy.com/course/salesforce-development/,Manish Choudhari,4.5748267,31.5,,0,9260,53101
ud_2395488,React Front To Back,https://www.udemy.com/course/modern-react-front-to-back/,Brad Traversy,4.890888,14.0,,0,9036,33803
ud_2411008,"HTML, CSS, & JavaScript - Certification Course for Beginners",https://www.udemy.com/course/html-css-javascript-certification-course-for-beginners/,YouAccel Training,4.229259,5.5,,1,8904,297166
ud_1546884,Python and Flask Bootcamp: Create Websites using Flask!,https://www.udemy.com/course/python-and-flask-bootcamp-create-websites-using-flask/,Jose Portilla,4.488089,20.0,,0,8725,49245
