course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ps_164,Developing Project Schedules and Budgets,https://www.pluralsight.com/courses/project-schedules-budgets-developing,Casey Ayers,,3.693611111111111,,1,,
ps_165,Kanban Development with Jira Agile,https://www.pluralsight.com/courses/kanban-development-jira-agile,Xavier Morera,4.1,2.9575,,2,192,
ps_166,Developing React.js Apps with Docker,https://www.pluralsight.com/courses/reactjs-apps-docker-developing,Saravanan Dhandapani,4.4,1.8833333333333333,,2,37,
ps_167,Behavior-driven Development: Fundamentals,https://www.pluralsight.com/courses/behavior-driven-development-fundamentals,Kevin James,,1.9261111111111109,,2,,
ps_168,Excel Application Development with VBA,https://www.pluralsight.com/courses/excel-application-development-vba,Terry Bradbury,4.1,3.8630555555555555,,2,91,
ps_169,The AI Developer’s Toolkit,https://www.pluralsight.com/courses/ai-developers-toolkit?utm_source=google&utm_medium=paid-search&utm_campaign=upskilling-and-reskilling&utm_term=b2b-na-dynamic&gclid=cjwkcajwoqgnbhaceiwawk-okebkv0zgzoucohipwu7nwgfa3ubl1maj6mpcejfrozdsw6z4igg2ghocqfqqavd_bwe&exp=3,Matthew Renze,4.6,1.7355555555555555,,1,67,
ps_170,The AI Developer’s Toolkit,https://www.pluralsight.com/courses/ai-developers-toolkit,Matthew Renze,4.6,1.7355555555555555,,1,67,
ps_171,OpenAI: Prompt Engineering for Developers,https://www.pluralsight.com/courses/openai-prompt-engineering-developers,Ed Freitas,,0.6411111111111111,,1,,
ps_172,Developing Change Readiness Skills,https://www.pluralsight.com/courses/developing-change-readiness-skills,Doru Catana,4.9,1.2622222222222221,,2,18,
ps_173,Building a JavaScript Development Environment,https://www.pluralsight.com/courses/javascript-development-environment,Cory House,4.9,4.918333333333334,,1,738,
ps_174,Introduction to Leadership and Management for Developers,https://www.pluralsight.com/courses/introduction-leadership-management-developers,Dan Appleman,4.6,4.568888888888889,,2,639,
ps_175,Kubernetes for Developers: Moving to the Cloud,https://www.pluralsight.com/courses/kubernetes-developers-cloud-moving,Craig Golightly,,1.4144444444444444,,2,,
ps_176,Developing Diversity Intelligence,https://www.pluralsight.com/courses/developing-diversity-intelligence,Raina Kumra,3.3,0.3213888888888889,,2,11,
ps_177,Product Management: Customer Development,https://www.pluralsight.com/courses/product-management-customer-development,Justin Harris,,1.3269444444444445,,1,,
ps_178,ASP.NET Core 6 Web API: Best Practices,https://www.pluralsight.com/courses/aspdotnet-core-6-web-api-best-practices,Steve Smith,4.7,3.188333333333333,,3,96,
ps_179,XML Web Services in Jakarta EE 10,https://www.pluralsight.com/courses/jakarta-ee-10-xml-web-services,Jaya Bodkhey,,0.8427777777777778,,3,,
ps_180,Modern Web Layout with Flexbox and CSS Grid,https://www.pluralsight.com/courses/modern-web-layout-flexbox-css-grid,Brian Treese,4.8,1.1825,,2,446,
ps_181,Salesforce Development: User Interface,https://www.pluralsight.com/courses/salesforce-development-user-interface-cert,Adam Olshansky,,2.1641666666666666,,2,,
ps_182,Oracle Performance Tuning for Developers,https://www.pluralsight.com/courses/oracle-performance-tuning-developers,David Berry,4.7,7.029722222222222,,2,278,
ps_183,Adding Graphics to Web Pages Using Canvas and SVG,https://www.pluralsight.com/courses/adding-graphics-web-pages-using-canvas-svg,Mike Van Sickle,4.6,1.7030555555555555,,1,60,
ps_184,Scrum Development with Jira & JIRA Agile,https://www.pluralsight.com/courses/scrum-development-jira-agile,Xavier Morera,4.0,1.453611111111111,,2,886,
ps_185,Developing for Excel with VBA,https://www.pluralsight.com/courses/excel-vba-developing,Mike McQuillan,,2.6325,,1,,
ps_186,Using ChatGPT to Code a Full-stack Web Application,https://www.pluralsight.com/courses/chatgpt-code-full-stack-web-application,Amber Israelsen,4.8,0.9013888888888889,,1,34,
