,course_title,course_id,course_url,course_instructor,course_rating,course_no_of_reviews,course_duration,course_level,course_no_of_enrolled,course_details
108,Mobile Development and JavaScript,ce_101148,https://www.coursera.org/learn/mobile-development-and-javascript,Taught by Meta Staff,4.4,66.0,45.0,1,8978,Create simple JavaScript code Create and manipulate objects and arrays  Write unit testing using Jest â¢	Create simple JavaScript code â¢	Create and manipulate objects and arrays â¢	Write unit testing using Jest Introduction to Javascript The building blocks of a program Programming paradigms Testing and compatibility Final Project
109,Application Security for Developers and DevOps Professionals,ce_101149,https://www.coursera.org/learn/application-security-for-developers-devops,John Rofrano,4.8,121.0,17.0,2,11292,"Explain security by design, learn to develop applications using security by design principles; perform defensive coding following OWASP principles. Describe IBM cloud container vulnerability; perform vulnerability scanning and pen testing with Kali Linux. Describe what to look for in app performance; perform troubleshooting using logging, stack trace, and log analytics. Discuss concepts like Golden Signals; list tools for monitoring and troubleshooting; and test monitoring in action with Prometheus and Grafana.   Open Web Application Security Project (OWASP) Observability security Monitoring logging Introduction to Security for Application Development Security Testing and Mitigation Strategiesâ¯ OWASP Application Security Risks Security Best Practicesâ¯, Final Project, and Assessment"
110,Building Database Applications in PHP,ce_101150,https://www.coursera.org/learn/database-applications-php,Charles Russell Severance,4.9,1100.0,24.0,2,51186,"Learn about the object-oriented patterns available in PHP. Build your first 'complete' application that has multiple screens to Create, Read, Update and Delete your data. Learn how PHP uses cookies and manages session data. Hypertext Preprocessor (PHP) Create, Read, Update And Delete MySQL PHP Objects Connecting PHP and MySQL PHP Cookies and Sessions PHP Redirect, Routing, and Authentication Building a CRUD Application"
111,Introduction to Mobile Development,ce_101151,https://www.coursera.org/learn/intro-to-mobile-development,Taught by Meta Staff,4.7,401.0,12.0,1,25123,The role of a cross-platform mobile developer Creating a simple webpage using HTML5  Styling a web page using CSS  Explaining React and React Native HTML and CSS React (Web Framework) Web Development JavaScript Mobile Development Mobile Applications Introduction to HTML and CSS React and React Native Course summary and graded assessment
112,Intermediate Web and Front-End Development,ce_101152,https://www.coursera.org/learn/intermediate-web-and-front-end-development,IBM Skills Network Team,4.4,16.0,12.0,2,3424,"Define CMS and SEO, identify their types, and list their features and benefits. Describe Webpack 5 and list its advantages, functions, and significance.  Define Mocha and Jasmineâs testing frameworks and compare and contrast their advantages and disadvantages.  Describe the debugging process, explain its importance, and identify various debugging methods.  Webpack Search Engine Optimization (SEO) javascript library Debugging Wordpress Search Engine Optimization (SEO) Introduction to Automated Build Tools (Webpack) Cross-Browser JavaScript Optimization and Testing Frameworks Debugging and Troubleshooting Final Project"
113,IntroducciÃ³n al desarrollo web,ce_101153,https://www.coursera.org/learn/introduccion-desarrollo-web,JosÃ© Bocanegra,4.6,144.0,14.0,1,16188,"Identificar los elementos principales de una pÃ¡gina web. Usar las etiquetas de HTML para la creaciÃ³n de tÃ­tulos, pÃ¡rrafos, enlaces, imÃ¡genes, tablas y formularios, y para la modificaciÃ³n del encabezado. Identificar los selectores de CSS para modificar la presentaciÃ³n de una pÃ¡gina web. Reconocer y usar los componentes Bootstrap como menÃºs de navegaciÃ³n, tarjetas y acordeones.  UtilizaciÃ³n decomponentes de Bootstrap CreaciÃ³n de una pÃ¡gina web bÃ¡sica UtilizaciÃ³n de selectores CSS UtilizaciÃ³n de HTML Bienvenida HTML bÃ¡sico HTML avanzado CSS Bootstrap"
114,Web Application Technologies and Django,ce_101154,https://www.coursera.org/learn/django-database-web-apps,Charles Russell Severance,4.7,1800.0,15.0,2,94193,Explain the basics of HTTP and how the request-response cycle works Install and deploy a simple DJango application Build simple web pages in HTML and style them using CSS Explain the basic operations in SQL Django (Web Framework) Hypertext Transfer Protocol (HTTP) HTML SQL Cascading Style Sheets (CSS) Introduction to Dynamic Web Content Installing Django on PythonAnywhere Hypertext Markup Language (from WA4E Specialization) Cascading Style Sheets (from WA4E Specialization) Introducing Structured Query Language (SQL)
115,Full Stack Software Developer Assessment,ce_101155,https://www.coursera.org/learn/full-stack-software-developer-assessment,Rav Ahuja,4.7,126.0,6.0,2,17533,"Demonstrate mastery of skills and knowledge acquired in the IBM Full Stack Software Developer Professional Certificate. Apply understanding of common technologies related to full-stack, front-end, and back-end application development. Explain concepts in cloud computing, web development, HTML, CSS, JavaScript, GitHub, Python and Django programming, microservices, and containers. Analyze and troubleshoot issues in software design, development, deployment, and operations. Review and Exam Preparation Assessment for Application Cloud Developer"
116,Attract and Engage Customers with Digital Marketing,ce_101156,https://www.coursera.org/learn/attract-and-engage-customers,Google Career Certificates,4.8,4800.0,21.0,1,234953,Recognize strategies to build brand awareness among potential customers Explain the purpose of SEO (search engine optimization) and essential SEO terms Optimize website content for SEO Understand search engine marketing (SEM) and how it benefits businesses Search Engine Optimization (SEO) Google Search Engine Marketing Customer Awareness Website Structure Introduction to attract and engage customers with digital marketing Understand search engine optimization (SEO) Apply search engine optimization (SEO) Search engine marketing (SEM) and display advertising
117,Project Launch,ce_101157,https://www.coursera.org/learn/project-management,Hassan Kafshi,4.7,239.0,49.0,1,1562,"Project Management Scope (Project Management) Communication Work Breakdown Structure Introduction to Project Management  Project Leadership Project Selection and Justification The Project Charter Project Kickoff, PM Plan, and Agile PM Requirements Gathering The Statement of Work Work Breakdown Structure Project Scope Stakeholders   Communication  RAM and RACI"
118,Hands-on Introduction to Linux Commands and Shell Scripting,ce_101158,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,Rav Ahuja,4.7,1100.0,14.0,1,84887,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system.  Perform common informational, file, content, navigational, compression, and networking commands in Bash shell.  Develop shell scripts using Linux commands, environment variables, pipes, and filters. Schedule cron jobs in Linux with crontab and explain the cron syntax.Â   Shell Script Bash (Unix Shell) Extract Transform and Load (ETL) Linux Linux Commands Introduction to Linux  Introduction to Linux Commands Introduction to Shell Scripting Final Project and Final Exam"
119,Getting Started with Git and GitHub,ce_101159,https://www.coursera.org/learn/getting-started-with-git-and-github,Rav Ahuja,4.6,829.0,10.0,1,67097,"Describe version control and its place in social and collaborative coding and in DevOps.  Explain basic Git concepts such as repositories and branches used for distributed version control and social coding. Create GitHub repositories and branches, and perform pull requests (PRs) and merge operations, to collaborate on a team project. Build your portfolio by creating and sharing an open-source project on GitHub.  Distributed Version Control Systems (DVCS) Git (Software) Github open source Cloning and forking Git and GitHub Fundamentals Git Commands and Managing GitHub Projects Final Project and Assessment [Optional] Working with GitHub from Your Windows Desktop"
120,Developing AI Applications with Python and Flask,ce_101160,https://www.coursera.org/learn/python-project-for-ai-application-development,Abhishek Gagneja,4.3,585.0,11.0,2,56974,"Describe the steps and processes involved in creating a Python application including the application development lifecycle  Create Python modules, run unit tests, and package applications while ensuring the PEP8 coding best practices Explain the features of Flask and deploy applications on the web using the Flask framework Create and deploy an AI-based application onto a web server using IBM Watson AI Libraries and Flask Python Programming Application development Web Application Flask Artificial Intelligence (AI) Python Coding Practices and Packaging Concepts  Web App Deployment using Flask  Creating AI Application and Deploy using Flask"
121,Version Control,ce_101161,https://www.coursera.org/learn/introduction-to-version-control,Taught by Meta Staff,4.6,2800.0,13.0,1,124800,Implement Version Control systemsÂ  Navigate and configure using the command lineÂ  Use a GitHub repository. Create a GitHub repository Manage code revisions Version Control Github Bash (Unix Shell) Web Development Linux Software collaboration Command Line Working with Git Graded Assessment
122,Introduction to Microsoft Azure Cloud Services,ce_101162,https://www.coursera.org/learn/microsoft-azure-cloud-services, Microsoft,4.6,1900.0,9.0,1,107050,"Describe the benefits of cloud computing in Microsoft Azure Explain core cloud concepts  Describe core Microsoft Azure services  Describe core Microsoft Azure architect components Microsoft Azure Cloud Computing Introduction to Azure Fundamentals Microsoft Azure Fundamental Concepts & Architectural Components Microsoft Azure Database, Analytics, & Compute Services Microsoft Azure Storage & Networking Services "
123,Applied Data Science Capstone,ce_101163,https://www.coursera.org/learn/applied-data-science-capstone,Yan Luo,4.7,7000.0,13.0,2,154826,"Demonstrate proficiency in data science and machine learning techniques using a real-world data set and prepare a report for stakeholdersÂ    Apply your skills to perform data collection, data wrangling, exploratory data analysis, data visualization model development, and model evaluation Write Python code to create machine learning models including support vector machines, decision tree classifiers, and k-nearest neighbors   Evaluate the results of machine learning models for predictive analysis, compare their strengths and weaknesses and identify the optimal modelÂ    Github Jupyter Notebook K-Means Clustering Methodology Data Science Methodology Introduction Exploratory Data Analysis (EDA) Interactive Visual Analytics and Dashboard Predictive Analysis (Classification) Present Your Data-Driven Insights"
124,Advanced React,ce_101164,https://www.coursera.org/learn/advanced-react,Taught by Meta Staff,4.6,919.0,26.0,2,73961,Create robust and reusable components with advanced techniques and learn different patterns to reuse common behavior Interact with a remote server and fetch and post data via an API Seamlessly test React applications with React Testing Library Integrate commonly used React libraries to streamline your application development Unit Testing React (Web Framework) Front-End Web Development Components React Hooks and Custom Hooks JSX and testing Final project
125,Aspectos bÃ¡sicos del diseÃ±o de la experiencia del usuario,ce_101165,https://www.coursera.org/learn/aspectos-basicos-del-diseno-de-la-experiencia-del-usuario-ux,Google Career Certificates,4.9,3000.0,20.0,1,59592,"Identificar algunas de las responsabilidades laborales mÃ¡s comunes de los diseÃ±adores de UX de nivel bÃ¡sico.Â  Comprender algunos conceptos bÃ¡sicos del diseÃ±o de UX, como el diseÃ±o centrado en el usuario, el proceso de diseÃ±o, la accesibilidad, etc. Explicar por quÃ© los sprints de diseÃ±o son una parte importante y Ãºtil del trabajo de un diseÃ±ador de UX. Empezar a crear un portfolio en lÃ­nea donde puedas mostrar tus prÃ³ximos trabajos. DiseÃ±o de la experiencia del usuario (UXD) Experiencia del usuario (UX) Esquema InvestigaciÃ³n en UX Prototipo IntroducciÃ³n al diseÃ±o de la experiencia del usuario  Familiarizarse con tÃ©rminos, herramientas y frameworks comunes en el diseÃ±o de UX Participar en sprints de diseÃ±o   Desarrollo de una presencia profesional "
126,Python Project for Data Engineering,ce_101166,https://www.coursera.org/learn/python-project-for-data-engineering,Ramesh Sannareddy,4.6,559.0,9.0,2,38703,"Demonstrate your skills in Python for working with and manipulating data Implement webscraping and use APIs to extract data with Python Play the role of a Data Engineer working on a real project to extract, transform, and load data Use Jupyter notebooks and IDEs to complete your project Python Programming Information Engineering Extract Transform and Load (ETL) Data Engineer Web Scraping Extract, Transform, Load (ETL) Final Project [Optional] Python Coding Practices and Packaging Concepts"
127,Visual Elements of User Interface Design,ce_101167,https://www.coursera.org/learn/visual-elements-user-interface-design,Michael Worthington,4.7,5800.0,16.0,1,239140,User Interface Design (UI Design) User Experience (UX) Graphic Design Course and Specialization Overview What IS a user interface anyway? Formal Elements of Interface Design Active Elements of Interface Design Composing the Elements of Interface Design
128,Project Practicum with Multiple Projects,ce_101168,https://www.coursera.org/learn/project-practicum-with-multiple-projects,Shelly Wright,4.7,67.0,48.0,1,0,"Portfolio, Program, and Project Management Master WBS Creation and Resource Planning Stakeholder and Communication Management, Leadership Resource Utilization Planning and Master Schedule Development Risk Management; The Impact of Multi-Tasking; Buffers Scrum of Scrums; Final Projects"
129,Principles of UX/UI Design,ce_101169,https://www.coursera.org/learn/principles-of-ux-ui-design,Taught by Meta Staff,4.7,651.0,21.0,1,78742,Describe the fundamentals of User Experience (UX) design and research Describe accessibility considerations in design  Practice developing user empathy through research Create wireframes and prototypes in Figma Web Design Accessibility Front-End Web Development User Experience (UX) Introduction to UX and UI design Evaluating interactive design Applied Design Fundamentals Designing your UI Course summary and final assessment
130,Google SEO Fundamentals,ce_101170,https://www.coursera.org/learn/seo-fundamentals,Rebekah May,4.8,3400.0,29.0,0,155586,"Complete a competitive analysis on a webpage   Interpret brand recognition through social media   Create sitemaps and robot.txt files, plan redirects, and manage site errors   Use a variety of SEO tools to conduct an audience analysis and develop personas of your ideal buyer   Social Media Keyword Research Marketing Mathematical Optimization Getting Started and Introduction to On-page SEO Introduction to Off-page SEO Introduction to Technical SEO Keyword Theory & Research"
131,Biomedical Visualisation,ce_101171,https://www.coursera.org/learn/biomedvis,Paul Rea,4.6,394.0,22.0,2,27719,"Define and describe anatomical terminology related to the human body Describe the various body systems, what comprises them, and how they relate to function Create your own 3D modelling and animations using industry standard, open-source software (Blender) Analyse various visualisation techniques and methods, and be able to apply them to areas of biomedical science 3d modeling virtual - augmented and mixed realities human anatomy Computer Animation Introduction to Visualisation and the Human Body  3D Models and Animation Virtual Reality and Augmented Reality Extended Reality: The Realities and The Future"
132,Preventing Chronic Pain: A Human Systems Approach,ce_101172,https://www.coursera.org/learn/chronic-pain,"Dr. James Fricton, DDS, MS",4.7,396.0,44.0,1,34441,Chronic Pain Management Plan Pain Management Opiod Addiction And Abuse Treatment Introduction to the Course (Week 1) The Problem of Chronic Pain (Week 2) Common Pain Conditions and their Mechanisms (Week 3) Common Pain Conditions and their Mechanisms (Week 4) Common Pain Conditions and their Mechanisms (Week 5) Risk and Protective Factors in the Seven Realms (Week 6) Risk and Protective Factors in the Seven Realms (Week 7) Risk and Protective Factors in the Seven Realms (Week 8) Risk and Protective Factors in the Seven Realms (Week 9)   Implementing Transformative Care (Week 10)
133,Fundamentals of Red Hat Enterprise Linux 9,ce_101173,https://www.coursera.org/learn/fundamentals-of-red-hat-enterprise-linux-9,Red Hat Training,4.9,8.0,10.0,1,0, Red Hat Enterprise Linux Command Line Essentials Getting Help in Red Hat Enterprise Linux File Management from the Command Line Process Management and Systemd Red Hat Linux What is Linux? Red Hat Enterprise Linux Command Line Essentials Getting Help in Red Hat Enterprise Linux Editing Files Software Management File Management from the Command Line Process Management and Systemd Manage Networking User Management System Diagnostics Using The Web Console Comprehensive Review
134,Using Databases with Python,ce_101174,https://www.coursera.org/learn/python-databases,Charles Russell Severance,4.8,21000.0,13.0,1,485063,"Use the Create, Read, Update, and Delete operations to manage databases Explain the basics of Object Oriented Python Understand how data is stored across multiple tables in a database Utilize the Google Maps API to visualize data Python Programming Database (DBMS) Sqlite SQL Object Oriented Python Basic Structured Query Language Data Models and Relational SQL Many-to-Many Relationships in SQL Databases and Visualization"
135,Coding Interview Preparation,ce_101175,https://www.coursera.org/learn/coding-interview-preparation,Taught by Meta Staff,4.7,399.0,11.0,2,60801,Prepare for a coding interview Prepare for a Meta interview Solve problems using code Data Structure Computer Science Algorithms Communication Pseudocode Introduction to the coding interview Introduction to Data Structures Introduction to Algorithms Final project
136,Introduction to Google Workspace Administration,ce_101176,https://www.coursera.org/learn/introduction-google-workspace,Google Cloud Training,4.7,2200.0,4.0,1,52796,"Set up a Google Workspace account and access and navigate the admin console. Manage key properties of the Google Workspace directory. Provision users, groups and calendar resources in Google Workspace and perform common user management tasks. Create an organizational structure in Google Workspace to simplify user and service management and assign pre-defined and custom admin roles. Introduction to Google Workspace"
137,The Business of Product Management I,ce_101177,https://www.coursera.org/learn/the-business-of-product-management-one,Nancy Wang,4.5,739.0,15.0,1,31123,"Insist on the Highest Standards. Understand the PM discipline, famous product managers and their accomplishments, and how you can make your mark. Customer Obsession. Learn why successful PMs start from the customer and work backwards to the product. Cultivate your intuition for this process. Ownership. PMs own their products and think long-term. Learn how to keep your sights set on the long-term using tools like the PRD and PRFAQ. Think Big. PMs communicate a bold direction that inspires results. Think and act big by selling MVPs and communicating opportunity to investors. Tech Leadership Go-to-market Strategy Product Management Product/Market Fit B2B Sales Insist on the Highest Standards as a Product Manager Customer Obsession Ownership Think Big as a Product Manager"
138,"Recruiting, Hiring, and Onboarding Employees",ce_101178,https://www.coursera.org/learn/recruiting-hiring-onboarding-employees,Amy Simon,4.7,4300.0,20.0,0,137547,Onboarding Recruiting Human Resources (HR) Recruitment Workforce Planning: Aligning Recruitment and Selection with Company Strategy  Recruitment: Finding the Best Candidates Selection: Choosing the Best Candidates Special Topic: Onboarding
139,Global Health at the Human-Animal-Ecosystem Interface,ce_101179,https://www.coursera.org/learn/global-health-human-animal-ecosystem,Rafael Ruiz De CastaÃ±eda,4.7,321.0,52.0,2,15574,Disease Management Biodiversity Veterinary Public Health Welcome! Key information on the MOOC Global Health at the Human-Animal-Ecosystem Interface: The Need for Intersectoral Approaches (Section 1) Emerging Infectious Diseases (Section 2)   Antimicrobial Resistance &  Zoonotic Foodborne Infectious Diseases (Section 3) Zoonotic Neglected Infectious Diseases (Section 4)    Conflicts & Injuries (Section 5)    Innovation & Opportunities (Section 6)          Health Benefits at the Human-Animal-Ecosystem Interface (Section 7) Management of Ecosystems under Global Changes: Implications for Human Health (section 8)      Final Quiz
140,Process Mining: Data science in Action,ce_101180,https://www.coursera.org/learn/process-mining,Wil van der Aalst,4.7,1200.0,22.0,2,84363,Petri Net Process Modeling Process Mining Data Mining Introduction and Data Mining Process Models and Process Discovery Different Types of Process Models Process Discovery Techniques and Conformance Checking Enrichment of Process Models Operational Support and Conclusion
141,Introduction to Structured Query Language (SQL),ce_101181,https://www.coursera.org/learn/intro-sql,Charles Russell Severance,4.8,5300.0,15.0,2,213509,"Learn about the basic syntax of the SQL language, as well as database design with multiple tables, foreign keys, and the JOIN operation. Learn to model many-to-many relationships like those needed to represent users, roles, and courses. Phpmyadmin Relational Database SQL MySQL Installing PHP and SQL Introduction to Structured Query Language (SQL) Database Design Many-To-Many"
142,Foundations of Teaching for Learning: Introduction,ce_101182,https://www.coursera.org/learn/teaching,Professor John MacBeath,4.6,758.0,8.0,0,65675,Teaching Planning Teaching Method Being a Teacher: A Professional Privilege Thinking About Learning How Good is My Classroom? Continuing to Learn in a Changing World
143,Blockchain Basics,ce_101183,https://www.coursera.org/learn/blockchain-basics,Bina Ramamurthy,4.6,7500.0,15.0,1,238074,"A learner will be able to recognize foundational concepts of blockchain, and apply these program concepts on the blockchain. Ethereum Cryptography Blockchains Bitcoin Blockchain Defined Ethereum Blockchain Algorithms & Techniques Trust Essentials "
144,Application Development using Microservices and Serverless ,ce_101184,https://www.coursera.org/learn/applications-development-microservices-serverless-openshift,Alex Parker,4.6,219.0,15.0,2,37071,"Summarize the fundamentals of Microservices, their advantages, and contrast with monolithic architectures. Create REST API endpoints and invoke them using cURL and Postman; Use SwaggerUI to document and test APIs. Create, and deploy microservices using Docker containers and serverless technologies like IBM Code Engine. Practice hands-on with labs and projects using a no-charge cloud-based environment. Representational State Transfer (REST) Cloud Applications Openshift Microservices serverless Introduction to Microservices Web API Essentials: REST API and GraphQL Serverless Overview Create and Deploy Microservices using Serverless Final Project Optional: OpenShift Essentials/Working with OpenShift and Istio"
145,Introduction to Religions & Ecology,ce_101185,https://www.coursera.org/learn/intro-religions-ecology,Mary Evelyn Tucker,4.9,41.0,14.0,1,4716,"environment conservation Religion Ecology MODULE 1: Course Introduction MODULE 2: The Emergence of the Field of Religion and Ecology MODULE 3: Religious Ecology: Orienting, Grounding, Nurturing, Transforming MODULE 4: Views of Nature in the West MODULE 5: Ecology, Conservation, and Ethics MODULE 6: Emergence of the Moral Force of Religion and Ecology  MODULE 7: Building on Interreligious Dialogue: Global Ethics and Environmental Justice MODULE 8: Course Conclusion"
146,Retail Marketing Strategy,ce_101186,https://www.coursera.org/learn/wharton-retail-marketing-strategy,Barbara E. Kahn,4.8,217.0,7.0,1,8484,Module 1: How Covid-19 has Accelerated the Move from Product-focused to Customer-Focused Marketing Strategy Module 2: Kahn Retailing Success Strategy Module 3: Importance of Customer Experience/Shopper-tainment Module 4: Changes in Branding: What Makes a Brand Great?
147,Groundwork for Success in Sales Development,ce_101187,https://www.coursera.org/learn/sales-success,Ernest Owusu,4.5,352.0,20.0,1,39671,"Confidently articulate the purpose and power of the SDR role in the tech industry Effectively select strategies and tools for developing a winning professional mindset Justify strategies for time management and prioritization that yield results in your personal and professional life Compose plans for taking responsibility for your physical, mental, emotional, and spiritual well-being within personal and professional relationships Sales Time management Sales Development teamwork Break into the World of Tech Sales Adopt the Winning Professional Mindset Crush Goals through Time Management and Prioritization Collaborate in a Top-Performing Team"
148,"Introduction to Software, Programming, and Databases ",ce_101188,https://www.coursera.org/learn/introduction-software-programming-and-databases,IBM Skills Network Team,4.7,239.0,18.0,1,15729,"Classify, install, configure, and manage software including mobile platforms. Discuss cloud computing and web browser concepts. Explain software development models, techniques, and concepts.   Describe fundamental database management concepts. Software Application Development Computer Programming Software Development Process Database basics IT Fundamentals Computing Platforms and Software Applications Fundamentals of Web Browsers, Applications, and Cloud Computing Basics of Programming Database Fundamentals  Final Quiz, Optional Lab, and Honors Project"
149,PrincÃ­pios de Desenvolvimento Ãgil de Software,ce_101189,https://www.coursera.org/learn/principios-de-desenvolvimento-agil-de-software,Eduardo Guerra,4.6,198.0,16.0,2,26847,Semana 1 Semana 2 Semana 3 Semana 4
150,Designing User Interfaces and Experiences (UI/UX),ce_101190,https://www.coursera.org/learn/designing-user-interfaces-and-experiences-uiux,IBM Skills Network Team,4.5,82.0,16.0,1,9009,"Explain design, UI/UX concepts, best practices of visual development, and the key duties and responsibilities of a UI/UX designer. Examine web design methodologies like Responsive Web Design (RWD), and Progressive Web Development. Use Figma, the essential concepts of Figma, and its various features. Develop applications and websites with web development frameworks, like Bootstrap. Website Wireframe User Interface design (UI Design) Progressive Web Development Figma User Experience (UX) Designing Intuitive Front Ends and Mockup Design Principles Web Design Methodologies UI Design with Figma Final Project and Assessment"
151,Django Application Development with SQL and Databases,ce_101191,https://www.coursera.org/learn/developing-applications-with-sql-databases-and-django,Yan Luo,4.5,197.0,14.0,2,33801,"Explain what a database is and create an entity relationship data model for a relational database. Compose SQL queries to insert, select, update, and delete data in a database. Use Django ORM to build object-oriented databases. Integrate Bootstrap into your Django template and build interactive web pages. Django (Web Framework) Object Relational Mapping (ORM) Relational Database (RDBMS) SQL Back-End Applications Getting Started with SQL & Relational Databases ORM: Bridging the Gap Between the Real World and Relational Model Full-stack Django Development Consolidate and Deploy Your Django App Final Project: Enhance Online Course App with New Features"
152,Customer Understanding and Digital Marketing Channels,ce_101192,https://www.coursera.org/learn/customer-understanding-and-digital-marketing-channels,Unilever Team,4.9,10.0,20.0,1,0,"Market Segmentation 6Ps digital marketing channels Customer Journey Map Sostac Introduction to Digital Marketing Customer segmentation, targeting and positioning Business models and solutions Digital marketing channels"
153,UX Design Fundamentals,ce_101193,https://www.coursera.org/learn/ux-design-fundamentals,Michael Worthington,4.8,2100.0,13.0,1,110135,"Adobe Illustrator Adobe Indesign Adobe XD Marvel InVision Course Overview Ideation, Articulation, Development Planning, Testing, Researching, Mapping What Goes Where? Making it by Faking it"
154,Desenvolvimento Ãgil com PadrÃµes de Projeto,ce_101194,https://www.coursera.org/learn/desenvolvimento-agil-com-padroes-de-projeto,Clovis Fernandes,4.7,71.0,18.0,2,20376,Semana 1 Semana 2 Semana 3 Semana 4
155,Django Web Framework ,ce_101195,https://www.coursera.org/learn/django-web-framework,Taught by Meta Staff,4.7,433.0,45.0,1,33497,Build a web server Data modeling Implement web security best practices Build a data model Design a web application Introduction to Django Views Models Templates Course summary and graded project assessment
156,Management Foundations in the Hospitality Industry,ce_101196,https://www.coursera.org/learn/hmgt3860mooc,Todd Uglow,4.3,53.0,7.0,1,4132,"Module 1: Introduction to HR, Job Analysis, and Design Module 2: Planning, Recruiting, and Talent Selection Module 3: Orientation, Socialization, and Culture Module 4: Training and Development"
157,"Introduction to HTML, CSS, & JavaScript",ce_101197,https://www.coursera.org/learn/introduction-html-css-javascript,Michelle Saltoun,4.7,40.0,10.0,1,4224,"Describe the Web Application Development Ecosystem and terminology like front-end developer, back-end, server-side, and full stack. Identify the developer tools and integrated development environments (IDEs) used by web developers.Â  Create and structure basic web pages using HTML and style them with CSS.Â  Develop dynamic web pages with interactive features using JavaScript.Â  Web Development JavaScript Web Cascading Style Sheets (CSS) HTML Overview CSS Overview & HTML5 Elements   JavaScript Programming for Web Applications Career Opportunities and Final Project"
158,Learning for a Sustainable Future,ce_101198,https://www.coursera.org/learn/learning-for-a-sustainable-future,Beth Christie,4.7,99.0,11.0,1,11513,"Critically reflect upon understandings of the range, scope and nature of 'sustainability', and consider the role of personal values and frameworks. Explore the way in which systems, connections and factors such as intersectionality influence the impact of sustainability issues. Investigate how we might move towards climate action within our own 'spheres of influence' and examine educational approaches to a response. Examining Thinking Values and Frameworks Systems and Connections Moving to Action Futures Thinking"
159,Sport Sponsorship. Let them Play,ce_101199,https://www.coursera.org/learn/sport-sponsorship,Richard Denton,4.4,260.0,9.0,1,13692,Module 0. Prior to Beginning Module 1. Basic principles of Sponsorship Module 2. The stakeholders of the sport sponsorship Module 3. Activation for Sport sponsorship (I) Module 4. Activation for Sport sponsorship (II) Module 5. Share your activation proposal for a Cruyff Court tournament
160,ProgramaciÃ³n en Python,ce_101200,https://www.coursera.org/learn/programacion-python,Mario SÃ¡nchez Puccini,4.5,130.0,59.0,1,40934,"Comprender y usar conceptos de programaciÃ³n como algoritmo, variable, funciÃ³n, parÃ¡metro, estructura de control y de datos e implementarlos en Python DiseÃ±ar, crear y probar programas completos en Python para resolver problemas de la vida real Manejar archivos y estructuras de datos complejas para manipular grandes volÃºmenes de informaciÃ³n Utilizar librerÃ­as especializadas como pandas y matplotlib para manipular conjuntos de datos y visualizarlos Python Programming Pensamiento computacional AbstracciÃ³n ProgramaciÃ³n DiseÃ±o de software MÃ³dulo 1: Descubriendo el mundo de la programaciÃ³n MÃ³dulo 2: Tomando decisiones MÃ³dulo 3: Repitiendo acciones y manejando estructuras de datos MÃ³dulo 4: Solucionando problemas con matrices y librerÃ­as"
161,The fundamentals of hotel distribution,ce_101201,https://www.coursera.org/learn/hotel-distribution,Peter O'Connor,4.7,1300.0,15.0,0,40601,Hospitality Management Revenue Management Hospitality Management Studies Hotel Management Setting the scene A deep dive into hotel distribution Direct distribution: the key to hotel success How to manage your OTA
162,Microsoft Azure Management Tools and Security Solutions,ce_101202,https://www.coursera.org/learn/microsoft-azure-management-security, Microsoft,4.7,450.0,8.0,1,25712,Describe Microsoft Azure management tools   Choose the correct Microsoft Azure Artificial Intelligence service to address different kinds of business challenges   Choose the best Microsoft Azure IoT service and  Microsoft Azure software development tools and services for a given business scenario  Describe Microsoft Azure security solutions  Cloud Computing Security Artificial Intelligence (AI) Microsoft Azure Internet Of Things (IOT) AI Services & Solutions Monitoring & Managing in Microsoft Azure Microsoft Azure Serverless Technology & IoT  General Security & Network Security in Microsoft Azure
163,What is the Metaverse?,ce_101203,https://www.coursera.org/learn/what-is-the-metaverse,Taught by Experts,4.6,789.0,9.0,1,68412,"Access and engage with the metaverse and discuss the potential impact of the metaverse  Explore the importance of creating a metaverse that isÂ ethical, safe, inclusive, and accessible.
 Game Engines Content Creation NFTs Extended Reality Blockchain and Cryptocurrency What is the metaverse? Who is creating the metaverse? Metaverse verticals Money in the metaverse Metaverse responsibility How will we build the metaverse?"
164,Introduction to Augmented Reality and ARCore,ce_101204,https://www.coursera.org/learn/ar,Google AR & VR,4.5,3700.0,10.0,1,89962,Introduction to augmented reality (AR) The basics of AR functionality Taking the next steps with ARCore Bringing ARCore to life
165,.Net Full Stack Foundation,ce_101205,https://www.coursera.org/learn/dot-net-full-stack-foundation,Board Infinity,4.1,87.0,16.0,1,6163,"Understand .NET framework: Master ASP.NET for dynamic web apps, emphasizing web forms, server controls, and data-driven techniques. Proficiency in C#: Learn data types, variables, operators, and control program flow using conditionals and loops efficiently. Advanced C# concepts: Master object-oriented principles like inheritance, polymorphism; and techniques like extension methods.   Delve into advanced exception handling techniques, create custom exceptions, and seamlessly implement asynchronous C# code.  Computer Programming .NET Core C Sharp (C#) (Programming Language) ASP.NET Fundamentals .NET Architecture Introduction to ASP.NET C# Programming Fundamentals Advanced C# Programming"
